run,failing_key,chosen_key,confidence
run_20251204_134715_021,btn.viewRates,,
run_20251204_134715_019,btn.viewRates,,
run_20251204_134715_026,tab.trips,,
run_20251204_134715_010,btn.bookNow,,
run_20251204_134715_028,tab.trips,,
run_20251204_134715_017,tab.trips,,
run_20251204_134715_043,btn.bookNow,,
run_20251204_134715_088,tab.trips,,
run_20251204_134715_044,btn.viewRates,,
run_20251204_134715_086,btn.viewRates,,
run_20251204_134715_072,tab.trips,,
run_20251204_134715_075,tab.trips,,
run_20251204_134715_081,btn.bookNow,,
run_20251204_134715_029,btn.viewRates,,
run_20251204_134715_016,btn.bookNow,,
run_20251204_134715_011,tab.trips,,
run_20251204_134715_018,btn.bookNow,,
run_20251204_134715_027,tab.trips,,
run_20251204_134715_020,tab.trips,,
run_20251204_134715_080,btn.bookNow,,
run_20251204_134715_074,btn.viewRates,,
run_20251204_134715_073,btn.bookNow,,
run_20251204_134715_087,tab.trips,,
run_20251204_134715_045,btn.viewRates,,
run_20251204_134715_042,btn.viewRates,,
run_20251204_134715_089,btn.viewRates,,
run_20251204_134715_094,tab.trips,,
run_20251204_134715_060,btn.viewRates,,
run_20251204_134715_058,btn.bookNow,,
run_20251204_134715_067,btn.bookNow,,
run_20251204_134715_093,tab.trips,,
run_20251204_092133,btn.viewRates,,
run_20251204_134715_051,tab.trips,,
run_20251204_134715_069,btn.viewRates,,
run_20251204_134715_056,btn.viewRates,,
run_20251204_134715_002,btn.viewRates,,
run_20251204_134715_005,btn.viewRates,,
run_20251204_134715_033,tab.trips,,
run_20251204_134715_034,btn.bookNow,,
run_20251204_091927,btn.viewRates,,
run_20251204_134715_068,btn.bookNow,,
run_20251204_134715_057,tab.trips,,
run_20251204_134715_050,tab.trips,,
run_20251204_134715_059,tab.trips,,
run_20251204_134715_092,btn.viewRates,,
run_20251204_134715_066,btn.bookNow,,
run_20251204_091911,btn.viewRates,,
run_20251204_134715_061,tab.trips,,
run_20251204_134715_095,tab.trips,,
run_20251204_134715_035,tab.trips,,
run_20251204_134715_032,btn.viewRates,,
run_20251204_134715_004,btn.bookNow,,
run_20251204_134715_003,btn.viewRates,,
run_20251204_134715_047,tab.trips,,
run_20251204_134715_078,btn.viewRates,,
run_20251204_134715_040,tab.trips,,
run_20251204_134715_076,btn.viewRates,,
run_20251204_134715_082,tab.trips,,
run_20251204_134715_049,btn.bookNow,,
run_20251204_134715_085,btn.viewRates,,
run_20251204_134715_071,btn.viewRates,,
run_20251204_134715_025,btn.viewRates,,
run_20251204_134715_022,btn.bookNow,,
run_20251204_134715_014,tab.trips,,
run_20251204_134715_013,tab.trips,,
run_20251204_134715_070,tab.trips,,
run_20251204_134715_084,btn.viewRates,,
run_20251204_134715_083,tab.trips,,
run_20251204_134715_077,btn.bookNow,,
run_20251204_134715_048,tab.trips,,
run_20251204_134715_041,btn.viewRates,,
run_20251204_134715_046,tab.trips,,
run_20251204_134715_079,btn.bookNow,,
run_20251204_134715_012,btn.bookNow,,
run_20251204_134715_015,btn.viewRates,,
run_20251204_134715_023,tab.trips,,
run_20251204_134715_024,btn.bookNow,,
run_20251204_134715_006,btn.viewRates,,
run_20251204_134715_039,tab.trips,,
run_20251204_134715_001,tab.trips,,
run_20251204_134715_037,btn.bookNow,,
run_20251204_134715_008,tab.trips,,
run_20251204_134715_030,btn.viewRates,,
run_20251204_134715_064,tab.trips,,
run_20251204_134715_090,btn.bookNow,,
run_20251204_134715_097,btn.viewRates,,
run_20251204_134715_063,btn.viewRates,,
run_20251204_134715_055,tab.trips,,
run_20251204_134715_099,btn.bookNow,btn.reserveNow,0.90
run_20251204_134715_052,tab.trips,,
run_20251204_134715_031,btn.bookNow,,
run_20251204_134715_036,btn.bookNow,,
run_20251204_134715_009,btn.viewRates,,
run_20251204_134715_000,tab.trips,,
run_20251204_134715_007,tab.trips,,
run_20251204_134715_038,btn.viewRates,,
run_20251204_134715_098,btn.bookNow,,
run_20251204_134715_053,tab.trips,,
run_20251204_134715_054,btn.bookNow,,
run_20251204_134715_062,tab.trips,,
run_20251204_134715_096,btn.bookNow,,
run_20251204_134715_091,btn.bookNow,,
run_20251204_134715_065,tab.trips,,
